Date,Search AD,Membership,Direct Volumn,Search Volumn,Referral Volumn,Number of Ads,Display AD,Seller Community,State
5/2/11,739641.92,10621,725631,677944,1115369,11,215199,3607425,1
5/3/11,1073327.69,16335,790886,1046947,1469236,11,215199,291571,1
5/4/11,1103268.8,17182,760009,1086405,1526065,8,80312.02,2251511,1
5/5/11,1105635.3,16215,770360,1077714,1544796,10,169900,258693,1
5/6/11,1098516.44,16052,748488,1054756,1843502,34,630830,160508,1
5/7/11,829213.08,14071,353657,834552,3490030,34,630830,157418,1
5/8/11,643316.75,13585,350706,753771,4921050,23,1260280,23791,1
5/9/11,1099006.52,17202,755042,1110296,5398575,23,1260280,23464,1
5/10/11,1140354.4,17279,746558,1099321,5732934,71,1225240,25188,1
5/11/11,1152678.39,17160,750539,1094420,3022149,22,360360,0,1
5/12/11,1172193.67,16633,788126,1120196,1528537,20,424540,469,1
5/13/11,1116831.7,15878,749323,1053207,1512668,21,431544,3433,1
5/14/11,855090.34,13796,350047,899337,1294207,21,431544,98128,1
5/15/11,667495.09,13435,348598,779645,1128770,17,317712,3685103,1
5/16/11,1147660.23,17198,747986,1118235,1543835,17,317712,298499,1
5/17/11,1158768.53,17552,775157,1107029,1545604,17,286020,285520,1
5/18/11,1132954.72,17096,781164,1101815,1553916,11,197800,2317154,1
5/19/11,1152658.51,16952,773513,1101326,1563137,12,159335,2212747,1
5/20/11,1132713.51,15887,569267,966942,1606158.5,22,373172,1758075,1
5/21/11,857836.42,13630,365021,832559,1649180,22,373172,1421382,1
5/22/11,678854.91,12879,362301,762568,1481668,20,464150,425659,1
5/23/11,1161927.96,16458,790420,1099219,1964360,20,464150,151162,1
5/24/11,1162174.1,16389,766511,1098295,1945353,16,424080,148064,1
5/25/11,1154262.71,16325,793696,1081688,1947975,30,559111,23215,1
5/26/11,1143368.85,15931,799249,1082108,1936381,19,277800,21730,1
5/27/11,1179997.86,15278,801414,1005718,1794644,39,643330,19450,1
5/28/11,860564.92,13052,403818,799133,1607248,39,643330,16615,1
5/29/11,670221.17,12618,400349,741912,1461518,39,653412,22129,1
5/30/11,1150129.71,16018,803860,1075225,1944515,39,653412,22735,1
5/31/11,1301436.07,15639,835874,1063354,1614335,45,997762,21515,1
6/1/11,1079533.42,14680,816231,1045962,1571324,9,146400,1,1
6/2/11,1100705.35,15468,813673,1056227,1577264,18,368500,459,1
6/3/11,1057816.72,14092,805057,965929,1526976,59,1421500,392,1
6/4/11,762719.2,11212,397341,727983,1271322,59,1421500,2815,1
6/5/11,586022.65,9590,391449,634853,1063114,59,1421500,29655,1
6/6/11,703765.12,9192,765142,648767,1049006,43,798320,57199,1
6/7/11,1106460.4,15709,803811,1037867,1707149,43,798320,57925,1
6/8/11,1123862.93,15347,811195,1051545,1669335,52,1141024,3382559,1
6/9/11,1111085.43,15286,810893,1061017,1541915,54,1128112,270346,1
6/10/11,1084683.23,14406,826009,1015444,1342440,94,2083100,256325,1
6/11/11,848219.67,12954,435511,833768,1178757,1,18000,1717814,1
6/12/11,664120.51,12343,429743,756271,1035001,57,1174450,1368463,1
6/13/11,1099087.92,15815,810312,1091288,1431247,57,1174450,377347,1
6/14/11,1125059.76,15547,929685,1104268,1432488,55,1100300,387370,1
6/15/11,1113826.25,15151,797400,1100520,1408626,68,1381200,363962,1
6/16/11,1093428.35,14911,678455,1075929,1355416,42,845823,360266,1
6/17/11,1064756.43,14473,613762,940599.5,1234138,74,1473050,328544,1
6/18/11,818447.39,12252,549069,805270,1112860,74,1473050,203631,1
6/19/11,632765.76,11689,552323,721886,942478,46,912179,124293,1
6/20/11,1058037.07,15115,637153,1052333,1264728,46,912179,104288,1
6/21/11,1072150.15,15104,657531,1044333,1243635,43,881250,117577,1
6/22/11,1094937.57,14859,662527,1012578,1243843,43,827900,116632,1
6/23/11,1080657.7,14384,675702,951849,1254414,50,992600,107597,1
6/24/11,1059658.59,13801,674707,890442,1217773,61,1233424,105112,1
6/25/11,842497.23,11665,630199,726548,1052969,61,1233424,106096,1
6/26/11,662893.83,11206,631903,667455,910126,37,814700,97906,1
6/27/11,1104170.68,14547,703888,964653,1259000,37,814700,118552,1
6/28/11,1143754.32,14362,646665,968311,1264383,41,789200,126320,1
6/29/11,1195557.71,13924,618843,963045,1217995,54,1577900,113236,1
6/30/11,1440275.04,13449,602391,937045,1255486,115,2242515,118562,1
7/1/11,1082120.74,13113,547979,899354,1227544,23,466500,111671,1
7/2/11,846812.58,11733,453815,727938,1023671,23,466500,102297,1
7/3/11,663299.75,10965,471118,662098,903397,23,419400,97670,1
7/4/11,1082224.5,14168,572624,970720,1235484,23,419400,107476,1
7/5/11,1090067.59,14000,562109,971039,1272879,26,570800,109059,1
7/6/11,1000020.66,13918,582172,982966,1276812,25,494000,115387,1
7/7/11,1082990.6,13716,567442,961825,1281676,39,883300,111691,1
7/8/11,1060404.49,13278,576238,932116,1199520,87,1873400,112161,1
7/9/11,844945.6,11754,455626,754715,1005938,87,1873400,97008,1
7/10/11,649096.53,10729,444419,651105,865558,3,68400,84495,1
7/11/11,1085536.67,13892,540882,978438,1146093,3,68400,103148,1
7/12/11,1114247.42,13605,566712,978817,1212475,10,177300,107290,1
7/13/11,1149726.79,13828,571892,981976,1169283,13,352900,103734,1
7/14/11,1145791.72,13277,596069,971336,1148137,6,110400,101587,1
7/15/11,1075968.71,13265,555209,917561,1147686,22,414800,95856,1
7/16/11,851510.87,11374,441649,713545,927717,1,18000,86818,1
7/17/11,661549.18,10995,448183,649789,834579,14,266000,82095,1
7/18/11,1123912.6,14230,600757,959366,1141932,14,266000,89032,1
7/19/11,1152094.45,13996,605361,955762,1177428,19,330680,105209,1
7/20/11,1162849.64,14136,655871,953128,1133901,23,480500,19858,1
7/21/11,1148529.88,14040,651699,937547,1132073,14,273400,19658,1
7/22/11,1109946.49,13145,633896,906039,1100228,22,543470,20033,1
7/23/11,850406.45,11355,459976,701283,931034,22,543470,16100,1
7/24/11,664087.31,10550,451026,623009,808306,13,221800,14133,1
7/25/11,1111963.84,13321,567237,938617,1048956,13,221800,22147,1
7/26/11,1101416.59,13265,556704,921119,999930,15,289520,18965,1
7/27/11,1122904.65,13471,565892,928365,1023582,62,1647598,19524,1
7/28/11,1105483.44,13237,611896,916003,1028788,36,784910,19830,1
7/29/11,1089756.12,12757,616767,878441,1033683,54,1120440,20732,1
7/30/11,851295.89,11364,446597,705263,916090,8,138000,19109,1
7/31/11,900667.69,10580,441446,640387,846556,2,16000,17897,1
8/1/11,1087237.56,13720,652251,955503,1144062,16,351140,24097,1
8/2/11,1084606.02,13934,666965,1003268,1187501,8,166360,24460,1
8/3/11,1116509.69,14581,665045,1007249,1229199,14,250040,25632,1
8/4/11,1046670.8,14005,654581,995427,1203016,20,340820,26142,1
8/5/11,1035696.61,12891,564377,939521,1207204,32,601260,25995,1
8/6/11,792825.35,10615,429454,704047,1013664,32,601260,22195,1
8/7/11,643253.72,10414,458243,659934,938661,20,348920,20622,1
8/8/11,1085150.81,13706,620725,979907,1276768,20,348920,33734,1
8/9/11,1118366.39,13633,601388,944340,1273892,22,386840,28499,1
8/10/11,1103030.76,13435,552555,981049,1328746,31,615400,28598,1
8/11/11,1102249.37,13237,605729,944217,1264074,27,497000,24479,1
8/12/11,1059901.34,12673,596569,894739,1263057,52,1104340,22099,1
8/13/11,818095.07,11224,409509,717513,1081246,52,1104340,20203,1
8/14/11,646134.29,10524,417712,680452,959356,77,1464480,17335,1
8/15/11,1104299.58,13962,619474,1033668,1309665,77,1464480,24502,1
8/16/11,1111363.73,13787,631208,1031456,1268686,20,369261,25192,1
8/17/11,1136721.42,14254,622438,1012354,1288543,12,237120,23369,1
8/18/11,1117758.81,14598,619158,1057105,1330312,13,237500,24742,1
8/19/11,1055865.82,14018,559899,1003622,1315004,15,264700,24911,1
8/20/11,823311.28,12663,433882,787863,1082709,15,264700,21401,1
8/21/11,657268.23,12066,446291,727327,948016,18,343520,18818,1
8/22/11,1067902.58,15441,614291,1073008,1280063,18,343520,27560,1
8/23/11,1076990.69,15749,610084,1065636,1318354,22,377200,23353,1
8/24/11,1109815.91,16058,617984,1078276,1319430,16,277600,28898,1
8/25/11,1074020.51,15803,607189,1061151,1310932,17,279100,23941,1
8/26/11,1042046.43,15290,594847,1000998,1317208,21,401540,21578,1
8/27/11,826803.09,13790,429855,799468,1142656,21,401540,17914,1
8/28/11,663568.61,12408,436126,727967,1046110,34,709850,15860,1
8/29/11,1052048.3,16152,560371,1035545,1359771,34,709850,21989,1
8/30/11,1064890.05,16101,574599,1037308,1306208,37,655200,20209,1
8/31/11,1328127.9,15879,560078,1028073,1311233,69,1320200,20027,1
9/1/11,1002036.52,15658,498512,1022283,1291281,14,236600,15707,1
9/2/11,983315.88,15216,496142,978106,1287483,5,132300,14903,1
9/3/11,809527.26,13547,449432,799546,1111539,5,132300,13446,1
9/4/11,658027.09,13680,445149,741384,1003705,22,403800,11606,1
9/5/11,1018110.54,17238,500720,979833,1235153,22,403800,16194,1
9/6/11,1024751.7,16908,502403,1022943,1333229,25,498800,15982,1
9/7/11,1073162.1,16578,502945,1017250,1310413,15,287800,16446,1
9/8/11,1036635.05,16656,519161,992034,1281753,39,762300,15561,1
9/9/11,989301.7,15758,562340,905182,1289514,70,1410666,14353,1
9/10/11,748791.93,12886,509435,695685,1044806,14,240740,11101,1
9/11/11,595752.67,10861,510896,618533,917421,14,240740,8978,1
9/12/11,657890.19,8066,586702,586325,835472,14,240740,7746,1
9/13/11,1041684.21,18309,611519,1035700,1330068,14,240740,15639,1
9/14/11,1092429.82,18631,601362,1062846,1410913,13,270915,16539,1
9/15/11,1079771.63,18050,602991,1074803,1388138,13,198800,16148,1
9/16/11,1062705.93,17193,615749,1001883,1344776,40,475540,13788,1
9/17/11,862913.79,15574,555372,833340,1164739,40,475540,11708,1
9/18/11,689451.63,15418,534862,755512,1031400,16,205362,10129,1
9/19/11,1087638.21,19312,586295,1049896,1337351,16,205362,12910,1
9/20/11,1078816.69,20369,568037,1035410,1340636,13,246900,13074,1
9/21/11,1102992.97,20742,536426,1018120,1349269,19,289600,12539,1
9/22/11,1063942.75,20450,458655,1014211,1323724,21,294580,12957,1
9/23/11,1016386.01,19337,421610,966379,1268541,22,365800,12352,1
