Date,Search AD,Membership,Direct Volumn,Search Volumn,Referral Volumn,Number of Ads,Display AD,Seller Community,State
11/5/10,1007494.51,11181,1214648,1707712,1373129,80,1156954,429680,0
11/6/10,581881.09,9713,329004,1436733,1046268,80,1156954,338035,0
11/7/10,451274.79,9485,325315,1360663,979766,43,750232,20504,0
11/8/10,1015491.72,11947,1217014,1844277,1505509,43,750232,34,0
11/9/10,1006768.57,11977,1227363,1781587,1476747,25,470050,1610,0
11/10/10,1010377.1,11783,1226181,1819178,1474978,39,620700,8069,0
11/11/10,1017732.69,11072,1283223,1770456,1416953,30,551292,122475,0
11/12/10,968420.97,10680,1230286,1605025,1472025,38,623512,3888962,0
11/13/10,516582.26,9446,195958,1322220,1077260,38,623512,296965,0
11/14/10,411570.95,9243,215253,1269995,975561,33,569502,2491343,0
11/15/10,999431.88,12482,1295404,1696597,1451021,33,569502,239269,0
11/16/10,1324471.68,12778,1332494,1662228,1490728,24,472910,205785,0
11/17/10,1138005.94,12977,1340324,1661986,1463232,45,926566,28489,0
11/18/10,1481742.59,12880,1334841,1672974,1399633,26,460190,45575,0
11/19/10,1321142.03,12194,1360310,1630780,1397281,27,623300,2027,0
11/20/10,591588.25,10286,383858,1340829,960346,27,623300,7672,0
11/21/10,467274.82,10202,383196,1308487,870875,23,437532,119162,0
11/22/10,1018890.21,13150,1336254,1796416,1371372,23,437532,2783679,0
11/23/10,1025002.1,13169,1334954,1744659,1338563,20,401100,194551,0
11/24/10,1066074.38,13115,1340981,1749979,1350491,23,336944,1652244,0
11/25/10,1061644.22,12700,1346447,1698700,1328845,27,473600,434801,0
11/26/10,1044851.14,12033,1369596,1628925,1240955,36,536762,297422,0
11/27/10,552151.95,10333,385765,1373485,884911,1,11000,27359,0
11/28/10,431853.5,10205,376475,1311477,809376,1,11000,47963,0
11/29/10,1080144.72,13195,1385669,1768894,1283058,41,606992,1666,0
11/30/10,1084682.53,13012,1343358,1709316,1232444,57,909412,5239,0
12/1/10,1069611.47,13008,1410931,1634554,1247341,12,199800,95116,0
12/2/10,1093769.73,12581,1441009,1648779,1226711,14,169260,3645711,0
12/3/10,1064878.08,12309,1500565,1645647,1215285,38,512992,275385,0
12/4/10,592702.31,10446,579166,1356521,926906,38,512992,2371402,0
12/5/10,467962.94,10136,567608,1318306,837972,16,212750,408174,0
12/6/10,1100354.29,11061,1531732,1795933,1261449,16,212750,271514,0
12/7/10,1089920.66,13623,1549407,1727538,1264075,24,442910,25547,0
12/8/10,1080223.14,13497,1553548,1676265,1230450,16,370010,2967,0
12/9/10,1098762.99,13384,1508382,1673984,1217874,24,387220,509,0
12/10/10,1079644.13,12915,1545080,1607046,1227683,33,523040,6297,0
12/11/10,604778.01,11064,625905,1318011,920152,33,523040,111766,0
12/12/10,481979.16,11129,602589,1289914,847798,33,540960,3457409,0
12/13/10,1134933.68,14193,1409224,1747283,1218683,33,540960,239673,0
12/14/10,1146965.36,14402,1459954,1704660,1240186,23,380240,2258237,0
12/15/10,1123652.46,14896,1380516,1641313,1205350,30,738590,242041,0
12/16/10,1093399.84,14720,1264428,1589123,1175602,30,581740,132721,0
12/17/10,1087812.56,13748,1383454,1513966,1187611,42,803250,13293,0
12/18/10,606815.78,11912,458600,1242649,896446,42,803250,32847,0
12/19/10,488909.21,11571,458420,1250192,801610,24,290210,1124,0
12/20/10,1170452.97,14669,1528101,1720490,1215047,24,290210,6241,0
12/21/10,1203109.96,11884,1655645,1687043,1222422,24,379020,103853,0
12/22/10,1203520.37,13464,1668166,1636726,1205958,32,603060,3169089,0
12/23/10,1199969.69,13056,1607627,1648974,1159067,38,625850,205028,0
12/24/10,1098480.9,11627,1577092,1489542,1076001,49,894575,1681717,0
12/25/10,612571.87,9992,437491,1236291,801023,49,894575,121084,0
12/26/10,495936.41,10139,563315,1162872,715984,39,660650,232830,0
12/27/10,1158584.8,13145,1523967,1619149,1099236,39,660650,20255,0
12/28/10,1152343.62,12973,1522126,1672503,1118996,28,487340,15441,0
12/29/10,1138782.42,12607,1559634,1002072,1042613,50,911100,543,0
12/30/10,1182531.04,11888,1586310,937709,1023294,67,1244720,4823,0
12/31/10,1028645.54,9572,1532971,795148,954824,118,2149069,73226,0
1/1/11,355833.89,5213,400753,535756,562982,1,1000,1604401,0
1/2/11,396765.41,8313,396654,608077,614856,1,1000,72613,0
1/3/11,984724.6,11144,1396228,733084,824160,21,299120,1942317,0
1/4/11,1192104.86,13491,1444258,977394,1091943,21,299120,267069,0
1/5/11,1130138.91,13410,1456561,977925,1083792,12,158200,272229,0
1/6/11,1088001.4,13083,1442135,965503,1028759,15,281060,20667,0
1/7/11,1066810.62,12303,1475652,915230,989307,31,473650,85744,0
1/8/11,530297.6,10893,409077,743982,724210,31,473650,193,0
1/9/11,419473.89,10307,402549,669125,641795,25,396840,2503,0
1/10/11,1042862.28,12856,1495128,945183,977904,25,396840,64605,0
1/11/11,1022775.91,12666,1495996,915018,989197,24,323271,2104796,0
1/12/11,1022984.01,12741,1450440,923585,923116,25,534250,87575,0
1/13/11,1013728.46,12378,1418720,933763,992406,31,488420,1318791,0
1/14/11,1002527.22,11716,1350066,921368,1005370,50,820492,141367,0
1/15/11,471578.31,9759,453466,719432,814751,50,820492,191905,0
1/16/11,351529.09,9168,483776,633644,690987,31,442572,9585,0
1/17/11,961287.36,11656,1364502,907345,1202650,31,442572,188,0
1/18/11,939894.49,11440,1434081,896060,1186064,28,452462,106,0
1/19/11,923807.96,10288,1403894,858139,1163626,23,477940,962,0
1/20/11,882530.6,8701,1403779,826578,1171815,29,419900,23648,0
1/21/11,846039.61,7292,1240340,763435,1080673,65,1440862,759979,0
1/22/11,361623.49,5272,338155,644681,738891,65,1440862,12718,0
1/23/11,287986.56,4132,334478,573165,626767,32,463440,659226,0
1/24/11,795778.39,4121,1256991,773897,983324,32,463440,30311,0
1/25/11,768891.64,2995,1269738,737621,1016739,25,486230,76001,0
1/26/11,739387.23,2194,1243337,701471,947239,43,658600,12931,0
1/27/11,706197.1,1534,1224593,671124,900303,25,420500,210,0
1/28/11,645223.53,1059,1092411,622985,856833,37,566141,263,0
1/29/11,216008.18,622,231686,511004,524658,16,250712,3400,0
1/30/11,194567.21,468,220458,517784,486482,16,250712,77200,0
1/31/11,642086.54,367,931335,475489,674541,4,56800,2586818,0
2/1/11,417749.4,306,708004,411147,620717,4,56800,167000,0
2/2/11,370033.59,170,543891,305591,331815,4,56800,1406294,0
2/3/11,406122.71,212,546708,361591,332723,4,56800,273155,0
2/4/11,420779.75,243,537697,373365,333475,4,56800,219802,0
2/5/11,162244.63,320,70899,402454,339617,1,2000,26278,0
2/6/11,176181.92,488,74744,423770,360811,1,2000,665,0
2/7/11,479581.44,883,563691,486769,428993,1,2000,452,0
2/8/11,529202.24,1497,648329,555095,491150,1,2000,4587,0
2/9/11,587434.83,3145,803564,715230,623388,1,1200,75479,0
2/10/11,668907.77,6003,874480,842225,751376,10,16000,3549677,0
2/11/11,723526.09,7298,908935,900689,834359,16,238950,275908,0
2/12/11,440793.56,8165,149400,871434,819807,18,354400,2610500,0
2/13/11,349205.87,7766,144764,736289,708427,30,655912,398836,0
2/14/11,800944.67,8791,964469,939851,937886,30,655912,262399,0
2/15/11,859111.78,9369,982830,1003514,1002712,23,455950,28217,0
2/16/11,895510.18,9549,1035552,1016693,1029800,20,378120,282,0
2/17/11,867597.4,8685,1049329,918410,976645,40,857846,857,0
2/18/11,908031.77,9692,1052337,992746,1026311,31,642200,7485,0
2/19/11,497027.42,9047,151706,826662,900534,1,1200,113837,0
2/20/11,373988.16,8839,150193,746670,782674,43,895925,4120929,0
2/21/11,950428.3,11223,972615,1063083,1097954,43,895925,299637,0
2/22/11,982502.68,11812,1030194,1102213,1116472,49,1074860,2754645,0
2/23/11,1001107.68,11985,1236336,1127435,1130905,37,693420,416513,0
2/24/11,1000951.61,12071,1247897,1129616,1141211,47,1006010,261932,0
2/25/11,998989.37,11500,1219400,1091584,1151477,79,1652380,22476,0
2/26/11,560797.59,10348,383010,879643,961208,79,1652380,231,0
2/27/11,427191.33,10312,368594,797653,835485,76,1357052,597,0
2/28/11,1281422.4,12601,1214511,1134999,1196906,76,1357052,7616,0
